tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2019-1059,Taipei,Hard,32,C,20191111,270,201693,2,,Timea Babos,R,179,HUN,26.5051334702,210738,,Q,Aldila Sutjiadi,R,,INA,24.5284052019,2-6 6-4 6-3,3,R32,121,3,5,93,61,41,13,14,7,11,3,2,84,53,36,13,13,3,7,104,638,357,138
2019-1059,Taipei,Hard,32,C,20191111,271,204411,,Q,Storm Sanders,L,,AUS,25.2511978097,210931,,WC,Ching Wen Hsu,R,,TPE,23.227926078,6-1 6-4,3,R32,77,3,1,52,33,23,11,9,0,1,3,2,69,51,26,8,8,10,14,424,100,989,12
2019-1059,Taipei,Hard,32,C,20191111,272,206362,,,Naiktha Bains,R,174,GBR,21.9000684463,201613,,,Arina Rodionova,R,168,RUS,29.9055441478,6-3 6-7(3) 7-5,3,R32,141,1,3,102,70,43,18,16,4,8,1,5,105,69,39,17,17,3,10,291,194,207,292
2019-1059,Taipei,Hard,32,C,20191111,273,215219,6,,Kaja Juvan,R,170,SLO,18.9596167009,201399,,Q,Emily Webley Smith,R,,GBR,35.3264887064,6-1 6-2,3,R32,41,0,1,44,29,22,11,8,0,0,0,2,35,21,12,5,7,1,5,129,476,477,82
2019-1059,Taipei,Hard,32,C,20191111,274,203281,,,Amandine Hesse,R,164,FRA,26.81724846,211880,4,,Priscilla Hon,R,,AUS,21.5058179329,6-4 3-6 6-3,3,R32,113,12,6,95,51,33,24,14,4,8,7,4,87,47,33,19,14,10,15,259,225,123,500
2019-1059,Taipei,Hard,32,C,20191111,275,203435,,,Dalila Jakupovic,R,178,SLO,28.6351813826,220500,,Q,Ya Hsin Lee,L,,TPE,18.5872689938,2-6 6-2 6-2,3,R32,93,4,3,84,67,40,7,12,3,7,1,5,69,46,28,7,12,4,10,201,297,1107,8
2019-1059,Taipei,Hard,32,C,20191111,276,222390,,WC,Ya Yi Yang,L,,TPE,15.4496919918,220466,,WC,Joanna Garland,R,,TPE,18.3216974675,6-3 6-3,3,R32,62,1,2,46,27,21,13,9,0,1,2,6,53,31,20,8,9,3,7,,,637,43
2019-1059,Taipei,Hard,32,C,20191111,277,202600,8,,Viktoriya Tomova,R,170,BUL,24.7091033539,214826,,,Susan Bandecchi,U,,SUI,21.363449692,6-4 2-6 3-0 RET,3,R32,100,0,4,81,56,33,12,10,14,18,2,3,74,49,28,11,11,1,6,160,373,299,187
2019-1059,Taipei,Hard,32,C,20191111,278,202450,,,Jana Cepelova,R,168,SVK,26.4531143053,206124,5,,Tereza Martincova,R,,CZE,25.0485968515,6-3 6-1,3,R32,62,3,2,52,31,20,12,8,3,5,3,4,66,48,24,4,8,9,15,173,355,126,482
2019-1059,Taipei,Hard,32,C,20191111,279,202693,,,Ya Hsuan Lee,R,165,TPE,24.3121149897,214540,,,Chihiro Muramatsu,U,,JPN,21.4729637235,7-6(9) 6-4,3,R32,119,4,4,77,58,34,8,11,5,10,0,5,80,54,29,10,11,4,10,307,182,264,216
2019-1059,Taipei,Hard,32,C,20191111,280,215872,,,Kamilla Rakhimova,R,,RUS,18.2039698836,203552,,,Risa Ozaki,R,163,JPN,25.5879534565,6-1 6-3,3,R32,61,1,2,52,33,22,11,8,1,2,1,1,46,34,17,4,8,2,7,204,297,313,173
2019-1059,Taipei,Hard,32,C,20191111,281,201554,3,,Vitalia Diatchenko,R,170,RUS,29.2758384668,206102,,,Ankita Raina,R,,IND,26.8309377139,7-6(1) 6-1,3,R32,93,3,6,68,49,36,8,10,4,6,1,1,66,47,23,10,9,5,9,108,600,185,321
2019-1059,Taipei,Hard,32,C,20191111,282,202688,,,Isabella Shinikova,R,184,BUL,28.0465434634,202457,7,,Bibiane Schoofs,R,170,NED,31.4962354552,6-2 6-4,3,R32,73,2,8,53,25,18,16,9,2,4,4,3,70,43,25,8,9,10,15,166,362,146,409
2019-1059,Taipei,Hard,32,C,20191111,283,211846,,,Kyoka Okamura,R,,JPN,24.0985626283,204223,,,Peangtarn Plipuech,U,169,THA,26.9869952088,5-7 6-3 6-3,3,R32,135,3,8,107,63,41,21,15,10,14,1,3,88,49,27,20,15,6,12,255,228,309,177
2019-1059,Taipei,Hard,32,C,20191111,284,201524,,,Urszula Radwanska,R,177,POL,28.9281314168,213544,,,Jana Fett,R,,CRO,23.022587269,0-6 6-1 6-2,3,R32,112,4,3,66,41,26,13,11,3,6,3,4,95,59,34,16,10,12,16,257,227,262,219
2019-1059,Taipei,Hard,32,C,20191111,285,203575,1,,Danka Kovinic,R,169,MNE,24.9801505818,211269,,WC,Eudice Wong Chong,U,,HKG,23.5537303217,6-7(3) 6-4 6-3,3,R32,140,7,5,90,50,38,18,15,3,6,0,2,128,84,49,22,16,8,14,91,692,451,91
2019-1059,Taipei,Hard,32,C,20191111,286,201693,2,,Timea Babos,R,179,HUN,26.5051334702,204411,,Q,Storm Sanders,L,,AUS,25.2511978097,6-4 7-6(8),3,R16,102,5,0,79,52,37,11,11,1,4,2,2,75,48,31,13,11,4,8,104,638,424,100
2019-1059,Taipei,Hard,32,C,20191111,287,206362,,,Naiktha Bains,R,174,GBR,21.9000684463,215219,6,,Kaja Juvan,R,170,SLO,18.9596167009,1-6 6-2 3-4 RET,3,R16,103,0,2,78,54,26,13,11,3,8,0,0,62,37,24,11,11,6,10,291,194,129,476
2019-1059,Taipei,Hard,32,C,20191111,288,203435,,,Dalila Jakupovic,R,178,SLO,28.6351813826,203281,,,Amandine Hesse,R,164,FRA,26.81724846,3-6 6-3 6-3,3,R16,118,1,1,88,64,35,12,14,3,9,3,3,93,60,32,16,13,11,18,201,297,259,225
2019-1059,Taipei,Hard,32,C,20191111,289,202600,8,,Viktoriya Tomova,R,170,BUL,24.7091033539,222390,,WC,Ya Yi Yang,L,,TPE,15.4496919918,6-4 6-2,3,R16,83,1,4,71,45,36,6,9,3,5,0,6,69,37,23,9,9,6,11,160,373,,
2019-1059,Taipei,Hard,32,C,20191111,290,202450,,,Jana Cepelova,R,168,SVK,26.4531143053,202693,,,Ya Hsuan Lee,R,165,TPE,24.3121149897,6-3 6-3,3,R16,66,1,3,51,35,28,7,9,2,3,2,1,60,37,21,12,9,3,7,173,355,307,182
2019-1059,Taipei,Hard,32,C,20191111,291,201554,3,,Vitalia Diatchenko,R,170,RUS,29.2758384668,215872,,,Kamilla Rakhimova,R,,RUS,18.2039698836,6-4 6-4,3,R16,84,5,5,59,30,23,16,10,4,6,2,4,57,34,22,8,10,2,6,108,600,204,297
2019-1059,Taipei,Hard,32,C,20191111,292,211846,,,Kyoka Okamura,R,,JPN,24.0985626283,202688,,,Isabella Shinikova,R,184,BUL,28.0465434634,1-6 6-2 6-4,3,R16,84,2,1,64,45,27,8,12,3,8,2,12,73,40,31,8,13,3,9,255,228,166,362
2019-1059,Taipei,Hard,32,C,20191111,293,203575,1,,Danka Kovinic,R,169,MNE,24.9801505818,201524,,,Urszula Radwanska,R,177,POL,28.9281314168,6-2 7-5,3,R16,102,5,5,67,36,26,19,10,5,6,0,0,65,43,25,8,10,5,9,91,692,257,227
2019-1059,Taipei,Hard,32,C,20191111,294,201693,2,,Timea Babos,R,179,HUN,26.5051334702,206362,,,Naiktha Bains,R,174,GBR,21.9000684463,6-4 4-6 6-3,3,QF,140,2,3,102,65,44,19,15,2,6,3,1,81,47,27,19,14,3,8,104,638,291,194
2019-1059,Taipei,Hard,32,C,20191111,295,202600,8,,Viktoriya Tomova,R,170,BUL,24.7091033539,203435,,,Dalila Jakupovic,R,178,SLO,28.6351813826,6-0 7-5,3,QF,77,0,1,66,45,30,9,9,4,7,1,0,57,33,12,9,9,3,10,160,373,201,297
2019-1059,Taipei,Hard,32,C,20191111,296,201554,3,,Vitalia Diatchenko,R,170,RUS,29.2758384668,202450,,,Jana Cepelova,R,168,SVK,26.4531143053,6-1 6-1,3,QF,65,1,1,33,19,15,9,7,0,1,1,2,65,40,20,7,7,4,10,108,600,173,355
2019-1059,Taipei,Hard,32,C,20191111,297,203575,1,,Danka Kovinic,R,169,MNE,24.9801505818,211846,,,Kyoka Okamura,R,,JPN,24.0985626283,6-3 6-0,3,QF,60,0,2,40,26,22,7,8,0,1,0,3,43,27,13,4,7,2,7,91,692,255,228
2019-1059,Taipei,Hard,32,C,20191111,298,201693,2,,Timea Babos,R,179,HUN,26.5051334702,202600,8,,Viktoriya Tomova,R,170,BUL,24.7091033539,6-1 6-2,3,SF,66,3,0,49,33,25,8,8,4,5,0,2,51,31,15,8,7,5,10,104,638,160,373
2019-1059,Taipei,Hard,32,C,20191111,299,201554,3,,Vitalia Diatchenko,R,170,RUS,29.2758384668,203575,1,,Danka Kovinic,R,169,MNE,24.9801505818,6-3 6-2,3,SF,78,4,2,60,42,25,11,9,6,9,2,4,52,33,17,6,8,8,14,108,600,91,692
2019-1059,Taipei,Hard,32,C,20191111,300,201554,3,,Vitalia Diatchenko,R,170,RUS,29.2758384668,201693,2,,Timea Babos,R,179,HUN,26.5051334702,6-3 6-2,3,F,69,6,3,50,29,21,14,9,1,2,6,1,47,32,17,8,8,2,6,108,600,104,638
2019-1059,Taipei,Hard,32,C,20191111,243,205969,5,,Yana Sizikova,R,,RUS,24.9965776865,204415,,,Alexandra Riley,U,,USA,28.5804243669,6-4 6-2,3,Q1,69,3,7,50,30,21,12,9,3,5,1,1,68,45,23,10,9,7,12,563,57,1152,7
2019-1059,Taipei,Hard,32,C,20191111,244,201399,4,,Emily Webley Smith,R,,GBR,35.3264887064,214589,,,I Hsuan Cho,U,,TPE,19.7207392197,6-4 6-1,3,Q1,79,1,5,63,32,23,13,8,1,3,0,1,67,50,19,11,9,1,7,477,82,1158,6
2019-1059,Taipei,Hard,32,C,20191111,245,220500,8,,Ya Hsin Lee,L,,TPE,18.5872689938,205562,,,Naoko Eto,R,,JPN,34.8993839836,6-0 6-1,3,Q1,44,2,2,36,20,17,11,7,0,0,0,0,38,25,9,5,6,5,10,1107,8,,
2019-1059,Taipei,Hard,32,C,20191111,246,203449,3,,Sarah Rebecca Sekulic,L,,GER,27.356605065,203318,,,Shu Ying Hsieh,R,,TPE,26.302532512,6-2 6-3,3,Q1,63,1,1,51,34,24,7,9,2,5,1,4,50,20,9,11,8,5,11,444,92,,
2019-1059,Taipei,Hard,32,C,20191111,247,221745,,WC,Kuan Yi Lee,R,,TPE,17.1197809719,211965,6,,Jasmin Jebawy,U,,GER,23.1019849418,6-3 6-3,3,Q1,66,1,4,59,38,27,9,9,4,6,0,1,46,34,18,3,9,3,8,,,774,25
2019-1059,Taipei,Hard,32,C,20191111,248,204411,2,,Storm Sanders,L,,AUS,25.2511978097,214587,,WC,Pei Hsuan Chen,U,,TPE,19.7015742642,2-6 6-0 6-3,3,Q1,85,10,1,68,40,28,16,12,3,6,0,2,93,64,32,14,11,7,12,424,100,,
2019-1059,Taipei,Hard,32,C,20191111,249,202667,,,Natela Dzalamidze,R,,RUS,26.7022587269,203441,7,,Sviatlana Pirazhenka,R,,BLR,27.1622176591,6-3 6-1,3,Q1,49,3,1,45,34,23,6,8,0,1,0,4,48,31,16,5,8,2,7,,,830,21
2019-1059,Taipei,Hard,32,C,20191111,250,210738,1,,Aldila Sutjiadi,R,,INA,24.5284052019,215315,,,Yi Tsen Cho,U,,TPE,18.5215605749,6-0 1-6 7-5,3,Q1,128,1,2,79,56,37,8,12,6,11,0,2,95,67,34,11,13,8,15,357,138,1168,6
2019-1059,Taipei,Hard,32,C,20191111,251,201399,4,,Emily Webley Smith,R,,GBR,35.3264887064,205969,5,,Yana Sizikova,R,,RUS,24.9965776865,6-2 6-2,3,Q2,58,1,5,46,34,25,3,8,1,3,2,5,50,25,12,9,8,7,13,477,82,563,57
2019-1059,Taipei,Hard,32,C,20191111,252,220500,8,,Ya Hsin Lee,L,,TPE,18.5872689938,203449,3,,Sarah Rebecca Sekulic,L,,GER,27.356605065,6-7(5) 7-6(5) 6-4,3,Q2,143,1,4,132,86,55,21,17,7,12,3,7,110,69,46,16,17,3,9,1107,8,444,92
2019-1059,Taipei,Hard,32,C,20191111,253,204411,2,,Storm Sanders,L,,AUS,25.2511978097,221745,,WC,Kuan Yi Lee,R,,TPE,17.1197809719,6-3 6-2,3,Q2,61,5,0,62,43,32,9,9,2,3,0,4,52,29,16,8,8,5,9,424,100,,
2019-1059,Taipei,Hard,32,C,20191111,254,210738,1,,Aldila Sutjiadi,R,,INA,24.5284052019,202667,,,Natela Dzalamidze,R,,RUS,26.7022587269,5-7 6-2 6-4,3,Q2,138,1,0,114,90,50,14,15,7,12,8,4,91,50,32,15,15,6,13,357,138,,
